t,degree,freq
0.00596586090521576,0,98
0.00596586090521576,1,2
0.03684706317955186,0,96
0.03684706317955186,1,4
0.050653074587460815,0,94
0.050653074587460815,1,6
0.15647006057971416,0,93
0.15647006057971416,1,6
0.15647006057971416,2,1
0.23225765296017997,0,91
0.23225765296017997,1,8
0.23225765296017997,2,1
0.23920585883106343,0,89
0.23920585883106343,1,10
0.23920585883106343,2,1
0.26593655736333166,0,87
0.26593655736333166,1,12
0.26593655736333166,2,1
0.2696569405015882,0,85
0.2696569405015882,1,14
0.2696569405015882,2,1
0.28944656653703066,0,83
0.28944656653703066,1,16
0.28944656653703066,2,1
0.30093223797566004,0,82
0.30093223797566004,1,16
0.30093223797566004,2,2
0.3019620899091081,0,80
0.3019620899091081,1,18
0.3019620899091081,2,2
0.30347610264902786,0,78
0.30347610264902786,1,20
0.30347610264902786,2,2
0.31639698065024424,0,76
0.31639698065024424,1,22
0.31639698065024424,2,2
0.3349854172134631,0,74
0.3349854172134631,1,24
0.3349854172134631,2,2
0.37319903582279446,0,72
0.37319903582279446,1,26
0.37319903582279446,2,2
0.40595784824987025,0,70
0.40595784824987025,1,28
0.40595784824987025,2,2
0.4304132111683625,0,68
0.4304132111683625,1,30
0.4304132111683625,2,2
0.4543681715336959,0,66
0.4543681715336959,1,32
0.4543681715336959,2,2
0.4590226736468945,0,64
0.4590226736468945,1,34
0.4590226736468945,2,2
0.46175245306252416,0,62
0.46175245306252416,1,36
0.46175245306252416,2,2
0.4991169749175003,0,60
0.4991169749175003,1,38
0.4991169749175003,2,2
0.5444484364239359,0,59
0.5444484364239359,1,38
0.5444484364239359,2,3
0.5673137823927007,0,57
0.5673137823927007,1,40
0.5673137823927007,2,3
0.6272403656220537,0,55
0.6272403656220537,1,42
0.6272403656220537,2,3
0.6286182724638752,0,53
0.6286182724638752,1,44
0.6286182724638752,2,3
0.6414987903237227,0,52
0.6414987903237227,1,45
0.6414987903237227,2,2
0.6414987903237227,3,1
0.6793716000302236,0,51
0.6793716000302236,1,45
0.6793716000302236,2,3
0.6793716000302236,3,1
0.7795925654141159,0,49
0.7795925654141159,1,47
0.7795925654141159,2,3
0.7795925654141159,3,1
0.8715583601668012,0,47
0.8715583601668012,1,49
0.8715583601668012,2,3
0.8715583601668012,3,1
0.8837603172974929,0,45
0.8837603172974929,1,51
0.8837603172974929,2,3
0.8837603172974929,3,1
0.8948345551908905,0,44
0.8948345551908905,1,51
0.8948345551908905,2,4
0.8948345551908905,3,1
0.9119500013651581,0,42
0.9119500013651581,1,53
0.9119500013651581,2,4
0.9119500013651581,3,1
0.9403494077426124,0,42
0.9403494077426124,1,53
0.9403494077426124,2,4
0.9403494077426124,3,1
0.9694162686455312,0,40
0.9694162686455312,1,55
0.9694162686455312,2,4
0.9694162686455312,3,1
1.0008504652519026,0,38
1.0008504652519026,1,57
1.0008504652519026,2,4
1.0008504652519026,3,1
1.0014391781915042,0,36
1.0014391781915042,1,59
1.0014391781915042,2,4
1.0014391781915042,3,1
1.0132760211321983,0,35
1.0132760211321983,1,59
1.0132760211321983,2,5
1.0132760211321983,3,1
1.0267980941483852,0,34
1.0267980941483852,1,59
1.0267980941483852,2,6
1.0267980941483852,3,1
1.0336673231882618,0,33
1.0336673231882618,1,59
1.0336673231882618,2,7
1.0336673231882618,3,1
1.0376827627148062,0,33
1.0376827627148062,1,57
1.0376827627148062,2,9
1.0376827627148062,3,1
1.03942743468016,0,32
1.03942743468016,1,57
1.03942743468016,2,10
1.03942743468016,3,1
1.0456698708886494,0,32
