t,personi,alpha,friendWeightedAvgAlpha,friendAvgAlpha,friendStdAlpha
3.7866710162692585,39,3.9000000000000004,7.1072140868828857,7.2000000000000002,0.66833125519211389
3.7866710162692585,40,4.0,4.2999999999999998,4.2999999999999998,0.0
3.7866710162692585,41,4.1000000000000005,9.7455797406500473,9.8000000000000007,0.099999999999999645
3.7866710162692585,42,4.2000000000000002,5.6000000000000005,5.6000000000000005,0.0
3.7866710162692585,43,4.2999999999999998,4.0,4.0,0.0
3.7866710162692585,44,4.4000000000000004,7.1999999999999993,7.2000000000000002,0.0
3.7866710162692585,45,4.5,4.6341785559870967,5.6000000000000005,1.8
3.7866710162692585,46,4.6000000000000005,7.6999999999999993,7.7000000000000002,0.0
3.7866710162692585,47,4.7000000000000002,6.5206488323409157,7.3499999999999996,1.2499999999999996
3.7866710162692585,48,4.8000000000000007,7.4999999999999991,7.5,0.0
3.7866710162692585,49,4.9000000000000004,2.8542977442346569,2.75,0.75
3.7866710162692585,50,5.0,3.4705760210107752,3.6666666666666665,1.667999467092907
3.7866710162692585,51,5.1000000000000005,6.8000000000000007,6.8000000000000007,0.0
3.7866710162692585,52,5.2000000000000002,5.7269817430971592,5.4000000000000004,3.3000000000000007
3.7866710162692585,53,5.3000000000000007,6.4847311992785075,4.3500000000000005,2.7500000000000004
3.7866710162692585,54,5.4000000000000004,6.5946992435616494,6.8000000000000007,0.30000000000000027
3.7866710162692585,55,5.5,8.4259513923613909,8.5,0.29999999999999982
3.7866710162692585,56,5.6000000000000005,4.8847698937114252,5.0500000000000007,0.85000000000000009
3.7866710162692585,57,5.7000000000000002,7.4682422665750527,8.0999999999999996,0.99999999999999956
3.7866710162692585,58,5.8000000000000007,3.5298351643362902,3.4500000000000002,0.25
3.7866710162692585,59,5.9000000000000004,6.6557184226056565,5.2666666666666666,2.4608038433722332
3.7866710162692585,60,6.0,6.9542703145603264,6.3000000000000007,1.3000000000000003
3.7866710162692585,61,6.1000000000000005,7.4824370780430502,7.8666666666666671,2.2395436042987766
3.7866710162692585,62,6.2000000000000002,-1,-1,-1
3.7866710162692585,63,6.3000000000000007,2.3421268760833085,1.9000000000000001,1.0
3.7866710162692585,64,6.4000000000000004,7.7999999999999998,7.8000000000000007,0.0
3.7866710162692585,65,6.5,4.9558673931324924,4.6500000000000004,0.75
3.7866710162692585,66,6.6000000000000005,6.7000000000000002,6.7000000000000002,0.0
3.7866710162692585,67,6.7000000000000002,6.6000000000000005,6.6000000000000005,0.0
3.7866710162692585,68,6.8000000000000007,4.8016712606239871,4.2000000000000002,0.90000000000000013
3.7866710162692585,69,6.9000000000000004,9.2000000000000011,9.2000000000000011,0.0
3.7866710162692585,70,7.0,2.9368455363040749,2.1333333333333333,1.5627610892974724
3.7866710162692585,71,7.1000000000000005,5.3797369542460363,4.7250000000000005,1.2930100540985752
3.7866710162692585,72,7.2000000000000002,4.1037304803011532,2.4500000000000002,1.9500000000000002
3.7866710162692585,73,7.3000000000000007,3.1741771230844087,2.1749999999999998,1.1882234638316145
3.7866710162692585,74,7.4000000000000004,7.6812636210826346,5.2666666666666666,3.1094837013383572
3.7866710162692585,75,7.5,6.8019720556795882,5.6000000000000005,2.5139610179953071
3.7866710162692585,76,7.6000000000000005,6.0,6.0,0.0
3.7866710162692585,77,7.7000000000000002,4.1858761058338478,2.9500000000000002,1.6500000000000004
3.7866710162692585,78,7.8000000000000007,6.4000000000000012,6.4000000000000004,0.0
3.7866710162692585,79,7.9000000000000004,8.1237791633927579,5.7000000000000002,3.3999999999999999
3.7866710162692585,80,8.0,8.0242478780491524,4.9666666666666668,3.582674358011841
