t,personi,alpha,friendWeightedAvgAlpha,friendAvgAlpha,friendStdAlpha
0.01293850386280644,0,0.0,-1,-1,-1
0.01293850386280644,1,0.10000000000000001,-1,-1,-1
0.01293850386280644,2,0.20000000000000001,-1,-1,-1
0.01293850386280644,3,0.30000000000000004,-1,-1,-1
0.01293850386280644,4,0.40000000000000002,-1,-1,-1
0.01293850386280644,5,0.5,-1,-1,-1
0.01293850386280644,6,0.60000000000000009,-1,-1,-1
0.01293850386280644,7,0.70000000000000007,-1,-1,-1
0.01293850386280644,8,0.80000000000000004,-1,-1,-1
0.01293850386280644,9,0.90000000000000002,-1,-1,-1
0.01293850386280644,10,1.0,-1,-1,-1
0.01293850386280644,11,1.1000000000000001,-1,-1,-1
0.01293850386280644,12,1.2000000000000002,-1,-1,-1
0.01293850386280644,13,1.3,-1,-1,-1
0.01293850386280644,14,1.4000000000000001,-1,-1,-1
0.01293850386280644,15,1.5,-1,-1,-1
0.01293850386280644,16,1.6000000000000001,-1,-1,-1
0.01293850386280644,17,1.7000000000000002,-1,-1,-1
0.01293850386280644,18,1.8,-1,-1,-1
0.01293850386280644,19,1.9000000000000001,-1,-1,-1
0.01293850386280644,20,2.0,-1,-1,-1
0.01293850386280644,21,2.1000000000000001,-1,-1,-1
0.01293850386280644,22,2.2000000000000002,-1,-1,-1
0.01293850386280644,23,2.3000000000000003,-1,-1,-1
0.01293850386280644,24,2.4000000000000004,-1,-1,-1
0.01293850386280644,25,2.5,-1,-1,-1
0.01293850386280644,26,2.6000000000000001,-1,-1,-1
0.01293850386280644,27,2.7000000000000002,-1,-1,-1
0.01293850386280644,28,2.8000000000000003,-1,-1,-1
0.01293850386280644,29,2.9000000000000004,-1,-1,-1
0.01293850386280644,30,3.0,-1,-1,-1
0.01293850386280644,31,3.1000000000000001,-1,-1,-1
0.01293850386280644,32,3.2000000000000002,-1,-1,-1
0.01293850386280644,33,3.3000000000000003,-1,-1,-1
0.01293850386280644,34,3.4000000000000004,-1,-1,-1
0.01293850386280644,35,3.5,-1,-1,-1
0.01293850386280644,36,3.6000000000000001,-1,-1,-1
0.01293850386280644,37,3.7000000000000002,-1,-1,-1
0.01293850386280644,38,3.8000000000000003,-1,-1,-1
0.01293850386280644,39,3.9000000000000004,-1,-1,-1
0.01293850386280644,40,4.0,-1,-1,-1
0.01293850386280644,41,4.1000000000000005,-1,-1,-1
0.01293850386280644,42,4.2000000000000002,-1,-1,-1
0.01293850386280644,43,4.2999999999999998,-1,-1,-1
0.01293850386280644,44,4.4000000000000004,-1,-1,-1
0.01293850386280644,45,4.5,-1,-1,-1
0.01293850386280644,46,4.6000000000000005,-1,-1,-1
0.01293850386280644,47,4.7000000000000002,-1,-1,-1
0.01293850386280644,48,4.8000000000000007,-1,-1,-1
0.01293850386280644,49,4.9000000000000004,-1,-1,-1
0.01293850386280644,50,5.0,-1,-1,-1
0.01293850386280644,51,5.1000000000000005,-1,-1,-1
0.01293850386280644,52,5.2000000000000002,7.2000000000000002,7.2000000000000002,0.0
0.01293850386280644,53,5.3000000000000007,-1,-1,-1
0.01293850386280644,54,5.4000000000000004,-1,-1,-1
0.01293850386280644,55,5.5,-1,-1,-1
0.01293850386280644,56,5.6000000000000005,-1,-1,-1
0.01293850386280644,57,5.7000000000000002,-1,-1,-1
0.01293850386280644,58,5.8000000000000007,-1,-1,-1
0.01293850386280644,59,5.9000000000000004,-1,-1,-1
0.01293850386280644,60,6.0,-1,-1,-1
0.01293850386280644,61,6.1000000000000005,-1,-1,-1
0.01293850386280644,62,6.2000000000000002,-1,-1,-1
0.01293850386280644,63,6.3000000000000007,-1,-1,-1
0.01293850386280644,64,6.4000000000000004,-1,-1,-1
0.01293850386280644,65,6.5,-1,-1,-1
0.01293850386280644,66,6.6000000000000005,-1,-1,-1
0.01293850386280644,67,6.7000000000000002,-1,-1,-1
0.01293850386280644,68,6.8000000000000007,-1,-1,-1
0.01293850386280644,69,6.9000000000000004,-1,-1,-1
0.01293850386280644,70,7.0,-1,-1,-1
0.01293850386280644,71,7.1000000000000005,-1,-1,-1
0.01293850386280644,72,7.2000000000000002,5.2000000000000002,5.2000000000000002,0.0
0.01293850386280644,73,7.3000000000000007,-1,-1,-1
0.01293850386280644,74,7.4000000000000004,-1,-1,-1
0.01293850386280644,75,7.5,-1,-1,-1
0.01293850386280644,76,7.6000000000000005,-1,-1,-1
0.01293850386280644,77,7.7000000000000002,-1,-1,-1
0.01293850386280644,78,7.8000000000000007,-1,-1,-1
0.01293850386280644,79,7.9000000000000004,-1,-1,-1
0.01293850386280644,80,8.0,-1,-1,-1
0.01293850386280644,81,8.0999999999999996,-1,-1,-1
0.01293850386280644,82,8.2000000000000011,-1,-1,-1
0.01293850386280644,83,8.3000000000000007,-1,-1,-1
0.01293850386280644,84,8.4000000000000004,-1,-1,-1
0.01293850386280644,85,8.5,-1,-1,-1
0.01293850386280644,86,8.5999999999999996,-1,-1,-1
0.01293850386280644,87,8.7000000000000011,-1,-1,-1
0.01293850386280644,88,8.8000000000000007,-1,-1,-1
0.01293850386280644,89,8.9000000000000004,-1,-1,-1
0.01293850386280644,90,9.0,-1,-1,-1
0.01293850386280644,91,9.0999999999999996,-1,-1,-1
0.01293850386280644,92,9.2000000000000011,-1,-1,-1
0.01293850386280644,93,9.3000000000000007,-1,-1,-1
0.01293850386280644,94,9.4000000000000004,-1,-1,-1
0.01293850386280644,95,9.5,-1,-1,-1
0.01293850386280644,96,9.6000000000000014,-1,-1,-1
0.01293850386280644,97,9.7000000000000011,-1,-1,-1
