meanFriendshipLength,stdFriendshipLength,t
0.0,0.0,0.0008029438666028253
0.007834159008193434,0.007834159008193434,0.016471261882989693
0.013125026638576851,0.011271610076150679,0.028324642832661534
0.016520439599562502,0.013647778945156256,0.037226868993501354
0.030712882005609576,0.019617078691316514,0.05909753190095082
0.031682662552789995,0.022835273188743462,0.06640384495868924
0.044834610169580943,0.027963916009731644,0.08702822760374368
0.042906420279110825,0.030777060259663164,0.09122952632457511
0.043099224185036533,0.032774576057664206,0.09680973325363039
0.097637199525142784,0.045010890905258116,0.1621962863187525
0.10155542852694456,0.053601779626554602,0.17627005817324873
0.098181189895822404,0.059245623599240155,0.1818213822599286
0.094094305567458403,0.063070215362616158,0.18557569006218613
0.13937188209380588,0.072027173611199091,0.24157418059574945
0.13246967150632682,0.078073661822080503,0.2441340894015795
0.16225786745623275,0.086427440656949892,0.28473947651523424
0.2469370520001076,0.10412217564980486,0.3848522268091158
0.25074275678020186,0.10665027403255847,0.39157578461948717
0.25330005450764081,0.12130648355300892,0.40996433575365365
0.24242865735434169,0.1317380144669974,0.41335344785649225
0.26588724762774918,0.14272016524616363,0.45158355188699695
0.25470560472865589,0.15088095997571019,0.4538074671315171
0.27275755345863423,0.15937643351826097,0.4854972935344271
0.26598601645177006,0.16617834598319792,0.4913917573109806
0.34774543630681704,0.17863722091855511,0.5889577879072465
0.34071084411492403,0.18875578451698719,0.596736710676872
0.37435690267015381,0.20010720072445667,0.6459809735100249
0.38848208745699087,0.21104386712340059,0.6756454417951415
0.3973644619831731,0.221275669830405,0.699811064859138
0.40631981187764599,0.23093052016211843,0.7238152966750053
0.45403840914685223,0.24259536001241505,0.7877495514137419
0.49769242288953636,0.25579691174426084,0.8485653728422722
0.49766197570994825,0.26753865112424619,0.8651236581863491
0.48753004674000161,0.27750211977646688,0.8707185049176928
0.53166698456081263,0.28897629453726353,0.931470036006029
0.62480817670822864,0.3047639382771582,1.0435448092658157
0.64764382640685569,0.32025592646617307,1.0854288067999385
0.64925449934420187,0.33430318095296202,1.105589608289976
0.63266496082797918,0.34620309725051196,1.1065740964634196
0.78168274951842021,0.34390911575671829,1.267114429702041
0.79446162765217743,0.36415570749602411,1.3019616863816919
0.84668967754300417,0.38535034201729457,1.3770732410709783
0.97438880673535233,0.41191311977764861,1.5304141809668883
0.95620297306393842,0.43459730342009623,1.5367463722458319
0.95876292102914007,0.45524583663757323,1.5632753932367618
1.0335785741477348,0.47788073914143964,1.6633002798711554
1.0127123277294745,0.49747139720419908,1.666546231732168
1.0768337091242906,0.51847860075330954,1.7557102575252235
1.1891362074722402,0.54312398665878536,1.8950385787702695
1.1865487164844934,0.5394593039589326,1.907850581611281
1.2294793309904901,0.5647161214057097,1.9787239081852435
1.2878129053065286,0.59061519496053072,2.065675547063649
1.3401587481358019,0.61680507790370043,2.147155275721962
1.3137310353018983,0.63972145589953533,2.1486792870434175
1.3294237812949534,0.63751417435345858,2.1488757108769994
1.5124029150277956,0.66829966182592471,2.364033630035965
1.5759176840444702,0.69946378148394461,2.460380017470232
1.7934546313159831,0.70040587819616251,2.6644596345846385
1.7573074169006238,0.73816855975514772,2.664922991354709
1.8557865688065938,0.77735418779373811,2.8012753385424465
1.8607596460413298,0.77706811851434954,2.8222339766632456
1.8925416426387167,0.77322658447491588,2.834566718090875
1.9929032085005745,0.77322658447491588,2.9349282839527326
2.0626722502315009,0.78107810796415678,3.0079797836419235
2.0751327165688562,0.83005644960791924,3.064592009906276
2.114952726062473,0.87642491689450774,3.1484735345261945
2.220529106078089,0.92378880881620606,3.299366835074016
2.2125644172555865,0.96672722891306817,3.335653434596625
2.2381136984087018,0.96346814558022631,3.3833350708589016
2.2274331894704873,1.0046385669777627,3.4172032257100966
2.3464629434216078,1.0477822559235039,3.5822420569832096
2.3074199596312757,1.086057898159617,3.587572533955017
2.2793137667420513,1.1205814331992361,3.6024722611930016
2.3704870464452314,1.1562574160984371,3.7375434491636854
2.3438383285607478,1.1886718129938947,3.7535099736166706
